"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000150867",728.307164645223,0.255968659424077,0.13808261675865,1.85373557825512,0.0637769990237906,0.19218363074816
"ENSG00000177119",3522.76101069567,0.255926775776328,0.0965416376135462,2.65094711569734,0.00802664083627267,0.0385244576948812
"ENSG00000108556",8.21265525104534,0.255811308300565,0.764938487240403,0.334420757443428,0.738062078016971,0.883831544083014
"ENSG00000107815",127.948547216256,0.255803834303976,0.186235556881565,1.37354992025853,0.169581453314605,0.384979575244739
"ENSG00000140950",429.227122351125,0.255791056405896,0.119660407980741,2.13764152005119,0.0325458491837823,0.115935747230731
"ENSG00000222038",2.31329542332192,0.255720441140077,1.39021163250686,0.183943534322869,0.854057752004324,NA
"ENSG00000226891",5.32005978328267,0.255643586503541,0.868193191273604,0.29445472398663,0.768410455591324,0.898571811622747
"ENSG00000223804",61.9273072041476,0.255421711208324,0.257868212460377,0.990512590797018,0.321923638103633,0.569884289239441
"ENSG00000136827",967.769473997483,0.255369831032859,0.1006693022717,2.53671998583672,0.0111896415310608,0.0502801326136187
"ENSG00000223566",10.2235179235926,0.255225054052184,0.600838889764561,0.424781182443423,0.670996196597143,0.844687137018992
"ENSG00000129534",438.452798158399,0.255178823318411,0.116701774896323,2.18658905183841,0.0287725372956569,0.105409669344837
"ENSG00000218350",16.472688187089,0.255053973694673,0.500785514673989,0.509307809872881,0.610536484521839,0.808147952099805
"ENSG00000100142",432.880811626533,0.254956243855004,0.118626940289261,2.14922717582798,0.0316163960468437,0.113400566209232
"ENSG00000169026",64.7912158030324,0.254931030206261,0.251006765023312,1.01563410126649,0.30980365956378,0.558526253674674
"ENSG00000084774",1080.19754191322,0.254908988294926,0.120166595330169,2.12129658491646,0.0338968515917324,0.119521644080113
"ENSG00000112343",1076.97177408293,0.254795762073033,0.103980688384126,2.45041426473121,0.0142691939763839,0.0607274264295855
"ENSG00000235664",3.47448137246121,0.254716888280359,1.09565538124633,0.232479019078621,0.816165981207409,NA
"ENSG00000111229",1765.78347961216,0.254671426578513,0.0860568787686159,2.95933840760431,0.00308300342434929,0.0173456217622048
"ENSG00000267317",93.7899036572259,0.254663108747527,0.202137538843983,1.25985064527814,0.20772324588217,0.437147749081996
"ENSG00000118596",485.700117985346,0.25445885779102,0.157059605763873,1.62014196173127,0.105201785310196,0.276047525132925
"ENSG00000143458",357.030694147786,0.254350667000956,0.129708824477471,1.96093571910472,0.0498865219264118,0.160519943500546
"ENSG00000100441",1196.97081623044,0.254236266281372,0.0939805041255542,2.70520219748686,0.00682628247033598,0.0337699658450201
"ENSG00000099958",1.62965517531897,0.25423281484823,1.43041446746808,0.177733671345087,0.858932140325168,NA
"ENSG00000101624",75.5238609002676,0.25420478012741,0.237579025205839,1.06997989366766,0.284628359068942,0.532708761402729
